method,seed,k,knn_accuracy,svm_accuracy,dataset
MI,0,25,57.11538461538461,57.88461538461539,madelon
MI,0,50,53.26923076923077,58.46153846153847,madelon
MI,0,75,56.15384615384615,57.49999999999999,madelon
MI,0,100,55.19230769230769,55.38461538461539,madelon
MI,0,150,56.15384615384615,54.61538461538461,madelon
MI,0,200,57.11538461538461,53.84615384615385,madelon
MI,0,300,55.19230769230769,52.5,madelon
MI,0,500,53.07692307692308,54.03846153846153,madelon
MI,1,25,57.30769230769231,60.76923076923077,madelon
MI,1,50,56.53846153846154,59.61538461538461,madelon
MI,1,75,53.84615384615385,60.38461538461538,madelon
MI,1,100,56.730769230769226,58.46153846153847,madelon
MI,1,150,54.61538461538461,59.03846153846154,madelon
MI,1,200,56.53846153846154,58.84615384615385,madelon
MI,1,300,58.269230769230774,59.61538461538461,madelon
MI,1,500,52.88461538461539,60.192307692307686,madelon
MI,2,25,60.38461538461538,62.11538461538461,madelon
MI,2,50,59.42307692307692,60.96153846153847,madelon
MI,2,75,57.692307692307686,60.76923076923077,madelon
MI,2,100,59.42307692307692,60.38461538461538,madelon
MI,2,150,57.692307692307686,60.0,madelon
MI,2,200,60.38461538461538,56.53846153846154,madelon
MI,2,300,55.00000000000001,55.769230769230774,madelon
MI,2,500,49.80769230769231,51.73076923076923,madelon
MI,3,25,57.88461538461539,60.192307692307686,madelon
MI,3,50,52.5,59.80769230769231,madelon
MI,3,75,57.11538461538461,58.07692307692308,madelon
MI,3,100,55.38461538461539,57.88461538461539,madelon
MI,3,150,53.07692307692308,56.730769230769226,madelon
MI,3,200,56.15384615384615,58.65384615384615,madelon
MI,3,300,58.65384615384615,57.30769230769231,madelon
MI,3,500,59.03846153846154,56.92307692307692,madelon
MI,4,25,58.46153846153847,57.49999999999999,madelon
MI,4,50,57.30769230769231,60.192307692307686,madelon
MI,4,75,58.84615384615385,58.65384615384615,madelon
MI,4,100,58.07692307692308,60.192307692307686,madelon
MI,4,150,53.65384615384615,58.07692307692308,madelon
